epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,4943.61,0.94884,0.7724,1.07153,0.90683,0.96574,0.98183,0.78309,0.71228,0.62737,1.00589,0.000239238,0.000239238,0.000239238
74,4978.25,0.87362,0.80292,1.10947,0.91018,0.96156,0.98183,0.78419,0.69893,0.61902,0.99771,0.000230991,0.000230991,0.000230991
75,5012.58,0.8415,0.77492,1.05358,0.89703,0.97078,0.98211,0.78337,0.70155,0.61555,0.99898,0.000222744,0.000222744,0.000222744
76,5047.03,0.88698,0.78809,1.10198,0.92379,0.96891,0.98648,0.79035,0.68982,0.60671,1.00076,0.000214497,0.000214497,0.000214497
77,5081.54,0.89695,0.72774,1.05475,0.92379,0.96891,0.98648,0.79035,0.68982,0.60671,1.00076,0.000206251,0.000206251,0.000206251
78,5116.53,0.84991,0.75637,1.0626,0.95416,0.9784,0.98972,0.81028,0.66588,0.58943,0.99194,0.000198004,0.000198004,0.000198004
79,5151.02,0.90661,0.76377,1.04212,0.96303,0.96904,0.99031,0.81574,0.64938,0.58069,0.97966,0.000189757,0.000189757,0.000189757
80,5185.24,0.84666,0.74062,1.02998,0.97351,0.97153,0.98712,0.81936,0.64538,0.57624,0.9802,0.000181511,0.000181511,0.000181511
81,5219.85,0.82589,0.69867,1.05927,0.97351,0.97153,0.98712,0.81936,0.64538,0.57624,0.9802,0.000173264,0.000173264,0.000173264
82,5254.23,0.87141,0.74715,1.05834,0.96769,0.97141,0.98971,0.83022,0.64095,0.56599,0.97382,0.000165017,0.000165017,0.000165017
83,5288.93,0.84014,0.76841,1.0774,0.9728,0.95778,0.99266,0.82737,0.62909,0.55359,0.96805,0.000156771,0.000156771,0.000156771
84,5323.58,0.83496,0.71763,0.99665,0.9746,0.95617,0.99271,0.84681,0.60645,0.54701,0.95629,0.000148524,0.000148524,0.000148524
85,5358.15,0.87796,0.74018,1.07772,0.9746,0.95617,0.99271,0.84681,0.60645,0.54701,0.95629,0.000140277,0.000140277,0.000140277
86,5392.92,0.77886,0.66217,1.03154,0.97541,0.95387,0.99336,0.85317,0.60085,0.54088,0.95392,0.000132031,0.000132031,0.000132031
87,5427.14,0.81874,0.72284,1.10021,0.97428,0.95545,0.99274,0.85277,0.60131,0.53279,0.95486,0.000123784,0.000123784,0.000123784
88,5461.57,0.84289,0.71317,1.04602,0.97412,0.96509,0.99319,0.85742,0.59877,0.52594,0.95115,0.000115537,0.000115537,0.000115537
89,5496.15,0.81226,0.68967,1.02901,0.97412,0.96509,0.99319,0.85742,0.59877,0.52594,0.95115,0.00010729,0.00010729,0.00010729
90,5531.02,0.76659,0.65318,0.99777,0.97413,0.96545,0.99219,0.86047,0.59017,0.52087,0.94561,9.90437e-05,9.90437e-05,9.90437e-05
91,5565.62,0.82688,0.8147,1.05005,0.97594,0.96596,0.99286,0.86339,0.57816,0.51286,0.9406,9.0797e-05,9.0797e-05,9.0797e-05
92,5600.68,0.85496,0.79528,1.0706,0.97368,0.97536,0.99301,0.86203,0.57321,0.5052,0.93943,8.25503e-05,8.25503e-05,8.25503e-05
93,5635.26,0.82499,0.75027,1.07095,0.97368,0.97536,0.99301,0.86203,0.57321,0.5052,0.93943,7.43036e-05,7.43036e-05,7.43036e-05
94,5669.55,0.82226,0.7571,1.07482,0.97664,0.97913,0.99391,0.87448,0.57134,0.50361,0.93924,6.60569e-05,6.60569e-05,6.60569e-05
95,5704.22,0.7219,0.59741,0.98943,0.97658,0.98289,0.99412,0.87073,0.57394,0.50322,0.94023,5.78102e-05,5.78102e-05,5.78102e-05
96,5738.63,0.76559,0.65241,1.07058,0.97646,0.98437,0.99412,0.86619,0.58001,0.50482,0.94178,4.95635e-05,4.95635e-05,4.95635e-05
97,5773.23,0.74606,0.69764,1.0484,0.97646,0.98437,0.99412,0.86619,0.58001,0.50482,0.94178,4.13168e-05,4.13168e-05,4.13168e-05
98,5807.71,0.77687,0.6537,1.06923,0.9769,0.98292,0.99391,0.86454,0.58333,0.50553,0.94252,3.30701e-05,3.30701e-05,3.30701e-05
99,5842.03,0.75212,0.68467,1.03494,0.97776,0.98158,0.99391,0.8602,0.58426,0.5087,0.94263,2.48234e-05,2.48234e-05,2.48234e-05
100,5876.68,0.74155,0.62928,1.00008,0.97859,0.9816,0.99432,0.86134,0.58451,0.5102,0.94143,1.65767e-05,1.65767e-05,1.65767e-05
